NO,hospital_name,ykiho,doctor_info,specialties,source_file,num_doctors,num_dentists,num_korean_med,category,radiology,internal_medicine,oriental_neuropsychiatry,anesthesiology_pain,rehabilitation_medicine,occupational_medicine,oral_maxillofacial_surgery,surgery,emergency_medicine,acupuncture,family_medicine,ophthalmology,orthopedic_surgery,psychiatry,periodontology,pediatrics,cardiothoracic_surgery,lab_medicine,prosthodontics,oral_pathology,plastic_surgery,radiation_oncology,dentistry,ent,conservative_dentistry,urology,orthodontics,oral_medicine,preventive_medicine,dermatology,pediatric_dentistry,neurosurgery,tuberculosis,nuclear_medicine,oriental_internal,integrated_dentistry,dental_radiology,neurology,oriental_obgyn,oriental_rehab,obstetrics_gynecology,pathology,total_medical_staff,category_en,radiology,internal_medicine,oriental_neuropsychiatry,anesthesiology_pain,rehabilitation_medicine,occupational_medicine,oral_maxillofacial_surgery,surgery,emergency_medicine,acupuncture,family_medicine,ophthalmology,orthopedic_surgery,psychiatry,periodontology,pediatrics,cardiothoracic_surgery,lab_medicine,prosthodontics,oral_pathology,plastic_surgery,radiation_oncology,dentistry,ent,conservative_dentistry,urology,orthodontics,oral_medicine,preventive_medicine,dermatology,pediatric_dentistry,neurosurgery,tuberculosis,nuclear_medicine,oriental_internal,integrated_dentistry,dental_radiology,neurology,oriental_obgyn,oriental_rehab,obstetrics_gynecology,pathology,radiology,internal_medicine,oriental_neuropsychiatry,anesthesiology_pain,rehabilitation_medicine,occupational_medicine,oral_maxillofacial_surgery,surgery,emergency_medicine,acupuncture,family_medicine,ophthalmology,orthopedic_surgery,psychiatry,periodontology,pediatrics,cardiothoracic_surgery,lab_medicine,prosthodontics,oral_pathology,plastic_surgery,radiation_oncology,dentistry,ent,conservative_dentistry,urology,orthodontics,oral_medicine,preventive_medicine,dermatology,pediatric_dentistry,neurosurgery,tuberculosis,nuclear_medicine,oriental_internal,integrated_dentistry,dental_radiology,neurology,oriental_obgyn,oriental_rehab,obstetrics_gynecology,pathology,province,city
98,상주적십자병원,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE0ODEjODEjJDEjJDIjJDgz,"총 인원 : 16명 (의사 : 16, 치과의사 : 0, 한의사 : 0)","내과 (2), 신경과 (1), 외과 (1), 정형외과 (2), 신경외과 (1), 마취통증의학과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (1), 진단검사의학과 (1), 가정의학과 (2), 응급의학과 (1)",hco_info_종합병원_20250518_2200.csv,16,0,0,종합병원,1,2,0,1,0,0,0,1,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,16,general_hospital,1,2,0,1,0,0,0,1,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,1,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,경상북도,상주시
99,의료법인삼백의료재단상주성모병원,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEwMDIjODEjJDEjJDYjJDgz,"총 인원 : 23명 (의사 : 23, 치과의사 : 0, 한의사 : 0)","내과 (4), 신경과 (1), 외과 (2), 정형외과 (2), 신경외과 (1), 성형외과 (1), 마취통증의학과 (3), 산부인과 (1), 이비인후과 (1), 영상의학과 (1), 진단검사의학과 (1), 가정의학과 (1), 응급의학과 (1)",hco_info_종합병원_20250518_2200.csv,23,0,0,종합병원,1,4,0,3,0,0,0,2,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,23,general_hospital,1,4,0,3,0,0,0,2,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,4,0,3,0,0,0,2,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,경상북도,상주시
100,의료법인영성의료재단 고흥종합병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,"총 인원 : 17명 (의사 : 17, 치과의사 : 0, 한의사 : 0)","내과 (2), 신경과 (1), 외과 (1), 정형외과 (2), 마취통증의학과 (1), 산부인과 (2), 소아청소년과 (1), 영상의학과 (1), 방사선종양학과 (1), 병리과 (1), 가정의학과 (1)",hco_info_종합병원_20250518_2200.csv,17,0,0,종합병원,1,2,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,17,general_hospital,1,2,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,2,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,전라남도,고흥군
101,의료법인동춘의료재단문경제일병원,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjNjEjJDEjJDgjJDgz,"총 인원 : 38명 (의사 : 37, 치과의사 : 1, 한의사 : 0)","내과 (5), 신경과 (1), 정신건강의학과 (4), 외과 (4), 정형외과 (2), 신경외과 (3), 심장혈관흉부외과 (2), 마취통증의학과 (2), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (1), 진단검사의학과 (1), 재활의학과 (1), 응급의학과 (5), 직업환경의학과 (3), 예방의학과 (1), 통합치의학과 (1)",hco_info_종합병원_20250518_2200.csv,37,1,0,종합병원,1,5,0,2,1,3,0,4,5,0,0,0,2,4,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,1,0,38,general_hospital,1,5,0,2,1,3,0,4,5,0,0,0,2,4,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,1,0,1,5,0,2,1,3,0,4,5,0,0,0,2,4,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,1,0,경상북도,문경시
102,의료법인 힐링의료재단 옥천성모병원,JDQ4MTYyMiM1MSMkMSMkOCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjNDEjJDEjJDgjJDgz,"총 인원 : 19명 (의사 : 19, 치과의사 : 0, 한의사 : 0)","내과 (3), 신경과 (1), 외과 (1), 정형외과 (2), 신경외과 (1), 성형외과 (1), 마취통증의학과 (1), 산부인과 (1), 영상의학과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (1), 응급의학과 (1)",hco_info_종합병원_20250518_2200.csv,19,0,0,종합병원,1,3,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,19,general_hospital,1,3,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0,1,1,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,충청북도,옥천군
103,영주적십자병원,JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNTEjJDEjJDYjJDgz,"총 인원 : 19명 (의사 : 19, 치과의사 : 0, 한의사 : 0)","내과 (3), 신경과 (1), 외과 (1), 정형외과 (2), 신경외과 (1), 마취통증의학과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (1), 방사선종양학과 (1), 진단검사의학과 (1), 가정의학과 (2), 응급의학과 (1)",hco_info_종합병원_20250518_2200.csv,19,0,0,종합병원,1,3,0,1,0,0,0,1,1,0,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,19,general_hospital,1,3,0,1,0,0,0,1,1,0,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,1,1,0,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,경상북도,영주시
104,전주고려병원,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,"총 인원 : 17명 (의사 : 17, 치과의사 : 0, 한의사 : 0)","내과 (2), 외과 (1), 정형외과 (4), 마취통증의학과 (1), 산부인과 (1), 영상의학과 (1), 진단검사의학과 (2), 가정의학과 (1)",hco_info_종합병원_20250518_2200.csv,17,0,0,종합병원,1,2,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,general_hospital,1,2,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,전북특별자치도,전주시
105,대자인병원,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,"총 인원 : 121명 (의사 : 118, 치과의사 : 2, 한의사 : 1)","내과 (26), 신경과 (6), 정신건강의학과 (4), 외과 (9), 정형외과 (6), 신경외과 (4), 심장혈관흉부외과 (1), 성형외과 (3), 마취통증의학과 (6), 산부인과 (4), 소아청소년과 (3), 이비인후과 (1), 피부과 (1), 비뇨의학과 (2), 영상의학과 (8), 병리과 (3), 진단검사의학과 (4), 재활의학과 (2), 핵의학과 (1), 가정의학과 (4), 응급의학과 (13), 직업환경의학과 (3), 구강악안면외과 (2)",hco_info_종합병원_20250518_2200.csv,118,2,1,종합병원,8,26,0,6,2,3,2,9,13,0,4,0,6,4,0,3,1,4,0,0,3,0,0,1,0,2,0,0,0,1,0,4,0,1,0,0,0,6,0,0,4,3,121,general_hospital,8,26,0,6,2,3,2,9,13,0,4,0,6,4,0,3,1,4,0,0,3,0,0,1,0,2,0,0,0,1,0,4,0,1,0,0,0,6,0,0,4,3,8,26,0,6,2,3,2,9,13,0,4,0,6,4,0,3,1,4,0,0,3,0,0,1,0,2,0,0,0,1,0,4,0,1,0,0,0,6,0,0,4,3,전북특별자치도,전주시
106,재단법인예수병원유지재단예수병원,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,"총 인원 : 188명 (의사 : 184, 치과의사 : 4, 한의사 : 0)","내과 (42), 신경과 (3), 정신건강의학과 (4), 외과 (14), 정형외과 (7), 신경외과 (6), 심장혈관흉부외과 (1), 성형외과 (1), 마취통증의학과 (7), 산부인과 (6), 소아청소년과 (9), 안과 (2), 이비인후과 (3), 피부과 (2), 비뇨의학과 (2), 영상의학과 (10), 방사선종양학과 (2), 병리과 (3), 진단검사의학과 (3), 재활의학과 (8), 핵의학과 (2), 가정의학과 (6), 응급의학과 (13), 치과보존과 (1)",hco_info_종합병원_20250518_2200.csv,184,4,0,종합병원,10,42,0,7,8,0,0,14,13,0,6,2,7,4,0,9,1,3,0,0,1,2,0,3,1,2,0,0,0,2,0,6,0,2,0,0,0,3,0,0,6,3,188,general_hospital,10,42,0,7,8,0,0,14,13,0,6,2,7,4,0,9,1,3,0,0,1,2,0,3,1,2,0,0,0,2,0,6,0,2,0,0,0,3,0,0,6,3,10,42,0,7,8,0,0,14,13,0,6,2,7,4,0,9,1,3,0,0,1,2,0,3,1,2,0,0,0,2,0,6,0,2,0,0,0,3,0,0,6,3,전북특별자치도,전주시
107,의료법인영경의료재단전주병원,JDQ4MTYyMiM2MSMkMSMkNiMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDAjJDgz,"총 인원 : 47명 (의사 : 46, 치과의사 : 1, 한의사 : 0)","내과 (12), 신경과 (2), 정신건강의학과 (1), 외과 (5), 정형외과 (3), 신경외과 (2), 심장혈관흉부외과 (1), 성형외과 (1), 마취통증의학과 (2), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (2), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (1), 응급의학과 (8), 직업환경의학과 (1)",hco_info_종합병원_20250518_2200.csv,46,1,0,종합병원,2,12,0,2,1,1,0,5,8,0,1,0,3,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,47,general_hospital,2,12,0,2,1,1,0,5,8,0,1,0,3,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,2,12,0,2,1,1,0,5,8,0,1,0,3,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,전북특별자치도,전주시
108,광주병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,"총 인원 : 40명 (의사 : 40, 치과의사 : 0, 한의사 : 0)","내과 (11), 신경과 (1), 외과 (3), 정형외과 (6), 신경외과 (2), 심장혈관흉부외과 (1), 마취통증의학과 (3), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (3), 진단검사의학과 (1), 응급의학과 (4)",hco_info_종합병원_20250518_2200.csv,40,0,0,종합병원,3,11,0,3,0,0,0,3,4,0,0,0,6,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,40,general_hospital,3,11,0,3,0,0,0,3,4,0,0,0,6,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,3,11,0,3,0,0,0,3,4,0,0,0,6,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,광주광역시,북구
109,서남대학교병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEyMjIjNTEjJDEjJDYjJDgz,"총 인원 : 0명 (의사 : 0, 치과의사 : 0, 한의사 : 0)","내과 (0), 외과 (0), 정형외과 (0), 신경외과 (0), 마취통증의학과 (0), 산부인과 (0), 소아청소년과 (0), 이비인후과 (0), 영상의학과 (0), 병리과 (0), 치과 (0)",hco_info_종합병원_20250518_2200.csv,0,0,0,종합병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,general_hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,광주광역시,동구
110,광주기독병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDQjJDgz,"총 인원 : 124명 (의사 : 122, 치과의사 : 2, 한의사 : 0)","내과 (28), 신경과 (2), 정신건강의학과 (1), 외과 (8), 정형외과 (6), 신경외과 (5), 심장혈관흉부외과 (4), 마취통증의학과 (5), 산부인과 (4), 소아청소년과 (9), 이비인후과 (3), 피부과 (1), 비뇨의학과 (5), 영상의학과 (5), 병리과 (2), 진단검사의학과 (1), 재활의학과 (5), 핵의학과 (1), 가정의학과 (4), 응급의학과 (6), 치주과 (1), 치과보존과 (1)",hco_info_종합병원_20250518_2200.csv,122,2,0,종합병원,5,28,0,5,5,0,0,8,6,0,4,0,6,1,1,9,4,1,0,0,0,0,0,3,1,5,0,0,0,1,0,5,0,1,0,0,0,2,0,0,4,2,124,general_hospital,5,28,0,5,5,0,0,8,6,0,4,0,6,1,1,9,4,1,0,0,0,0,0,3,1,5,0,0,0,1,0,5,0,1,0,0,0,2,0,0,4,2,5,28,0,5,5,0,0,8,6,0,4,0,6,1,1,9,4,1,0,0,0,0,0,3,1,5,0,0,0,1,0,5,0,1,0,0,0,2,0,0,4,2,광주광역시,남구
111,해피뷰병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjE0ODEjNjEjJDEjJDAjJDgz,"총 인원 : 18명 (의사 : 18, 치과의사 : 0, 한의사 : 0)","내과 (4), 신경과 (2), 정신건강의학과 (2), 외과 (1), 정형외과 (2), 신경외과 (1), 마취통증의학과 (1), 비뇨의학과 (1), 영상의학과 (2), 진단검사의학과 (1), 가정의학과 (1)",hco_info_종합병원_20250518_2200.csv,18,0,0,종합병원,2,4,0,1,0,0,0,1,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,18,general_hospital,2,4,0,1,0,0,0,1,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,4,0,1,0,0,0,1,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,광주광역시,북구
112,학교법인 가톨릭학원 가톨릭대학교 대전성모병원,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNTEjJDEjJDIjJDgz,"총 인원 : 129명 (의사 : 126, 치과의사 : 3, 한의사 : 0)","내과 (30), 신경과 (3), 정신건강의학과 (2), 외과 (9), 정형외과 (5), 신경외과 (6), 심장혈관흉부외과 (3), 성형외과 (1), 마취통증의학과 (8), 산부인과 (5), 소아청소년과 (3), 안과 (5), 이비인후과 (5), 피부과 (1), 비뇨의학과 (3), 영상의학과 (10), 방사선종양학과 (2), 병리과 (3), 진단검사의학과 (2), 재활의학과 (4), 핵의학과 (1), 가정의학과 (5), 응급의학과 (8), 구강악안면외과 (1), 치과보철과 (1), 통합치의학과 (1)",hco_info_종합병원_20250518_2200.csv,126,3,0,종합병원,10,30,0,8,4,0,1,9,8,0,5,5,5,2,0,3,3,2,1,0,1,2,0,5,0,3,0,0,0,1,0,6,0,1,0,1,0,3,0,0,5,3,129,general_hospital,10,30,0,8,4,0,1,9,8,0,5,5,5,2,0,3,3,2,1,0,1,2,0,5,0,3,0,0,0,1,0,6,0,1,0,1,0,3,0,0,5,3,10,30,0,8,4,0,1,9,8,0,5,5,5,2,0,3,3,2,1,0,1,2,0,5,0,3,0,0,0,1,0,6,0,1,0,1,0,3,0,0,5,3,대전광역시,중구
113,동아병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjNTEjJDEjJDIjJDgz,"총 인원 : 31명 (의사 : 31, 치과의사 : 0, 한의사 : 0)","내과 (6), 외과 (1), 정형외과 (9), 신경외과 (2), 심장혈관흉부외과 (1), 마취통증의학과 (3), 산부인과 (1), 영상의학과 (3), 진단검사의학과 (1)",hco_info_종합병원_20250518_2200.csv,31,0,0,종합병원,3,6,0,3,0,0,0,1,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,31,general_hospital,3,6,0,3,0,0,0,1,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,6,0,3,0,0,0,1,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,광주광역시,남구
114,광주씨티병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDQjJDgz,"총 인원 : 27명 (의사 : 27, 치과의사 : 0, 한의사 : 0)","내과 (6), 신경과 (1), 외과 (2), 정형외과 (5), 신경외과 (2), 심장혈관흉부외과 (1), 마취통증의학과 (2), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (2), 진단검사의학과 (1), 응급의학과 (2)",hco_info_종합병원_20250518_2200.csv,27,0,0,종합병원,2,6,0,2,0,0,0,2,2,0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,27,general_hospital,2,6,0,2,0,0,0,2,2,0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,6,0,2,0,0,0,2,2,0,0,0,5,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,광주광역시,남구
115,광주현대병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQ0NjE0ODEjODEjJDEjJDYjJDgz,"총 인원 : 41명 (의사 : 41, 치과의사 : 0, 한의사 : 0)","내과 (7), 신경과 (2), 외과 (8), 정형외과 (7), 신경외과 (2), 마취통증의학과 (3), 산부인과 (1), 소아청소년과 (1), 영상의학과 (1), 진단검사의학과 (1), 응급의학과 (4)",hco_info_종합병원_20250518_2200.csv,41,0,0,종합병원,1,7,0,3,0,0,0,8,4,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,41,general_hospital,1,7,0,3,0,0,0,8,4,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,1,7,0,3,0,0,0,8,4,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,광주광역시,북구
116,광주일곡병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQyNjE0ODEjNDEjJDEjJDgjJDgz,"총 인원 : 20명 (의사 : 20, 치과의사 : 0, 한의사 : 0)","내과 (4), 신경과 (1), 외과 (3), 정형외과 (3), 신경외과 (2), 마취통증의학과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (1), 진단검사의학과 (1), 응급의학과 (1)",hco_info_종합병원_20250518_2200.csv,20,0,0,종합병원,1,4,0,1,0,0,0,3,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,20,general_hospital,1,4,0,1,0,0,0,3,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,3,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,광주광역시,북구
117,대전한국병원,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz,"총 인원 : 42명 (의사 : 41, 치과의사 : 1, 한의사 : 0)","내과 (9), 신경과 (2), 정신건강의학과 (1), 외과 (2), 정형외과 (5), 신경외과 (1), 심장혈관흉부외과 (2), 마취통증의학과 (4), 산부인과 (1), 소아청소년과 (1), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (1), 진단검사의학과 (2), 재활의학과 (1), 가정의학과 (1)",hco_info_종합병원_20250518_2200.csv,41,1,0,종합병원,1,9,0,4,1,0,0,2,0,0,1,0,5,1,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,42,general_hospital,1,9,0,4,1,0,0,2,0,0,1,0,5,1,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,9,0,4,1,0,0,2,0,0,1,0,5,1,0,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,대전광역시,동구
118,빛고을전남대학교병원,JDQ4MTYyMiM3MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQxMyQzNjE0ODEjNTEjJDEjJDYjJDgz,"총 인원 : 21명 (의사 : 21, 치과의사 : 0, 한의사 : 0)","내과 (13), 외과 (1), 정형외과 (1), 마취통증의학과 (1), 산부인과 (1), 영상의학과 (1), 진단검사의학과 (1), 예방의학과 (2)",hco_info_종합병원_20250518_2200.csv,21,0,0,종합병원,1,13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21,general_hospital,1,13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,광주광역시,남구
119,의료법인 영훈의료재단 대전선병원,JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,"총 인원 : 73명 (의사 : 70, 치과의사 : 3, 한의사 : 0)","내과 (15), 신경과 (3), 정신건강의학과 (1), 외과 (5), 정형외과 (7), 신경외과 (3), 심장혈관흉부외과 (1), 마취통증의학과 (4), 산부인과 (2), 소아청소년과 (2), 이비인후과 (2), 비뇨의학과 (2), 영상의학과 (5), 병리과 (2), 진단검사의학과 (1), 가정의학과 (3), 응급의학과 (7), 구강악안면외과 (1), 소아치과 (1)",hco_info_종합병원_20250518_2200.csv,70,3,0,종합병원,5,15,0,4,0,0,1,5,7,0,3,0,7,1,0,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,3,0,0,0,0,0,3,0,0,2,2,73,general_hospital,5,15,0,4,0,0,1,5,7,0,3,0,7,1,0,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,3,0,0,0,0,0,3,0,0,2,2,5,15,0,4,0,0,1,5,7,0,3,0,7,1,0,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,3,0,0,0,0,0,3,0,0,2,2,대전광역시,중구
