index,name,onclick,ykiho,doctor_info,specialties,special_fields
11,의료법인 온그룹의료재단 온병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEwMDIjNjEjJDEjJDgjJDgz"",11);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEwMDIjNjEjJDEjJDgjJDgz,"총 인원 : 79명 (의사 : 75, 치과의사 : 2, 한의사 : 2)","내과 (17), 신경과 (3), 정신건강의학과 (2), 외과 (8), 정형외과 (4), 신경외과 (4), 심장혈관흉부외과 (1), 성형외과 (2), 마취통증의학과 (5), 산부인과 (2), 소아청소년과 (2), 이비인후과 (2), 비뇨의학과 (1), 영상의학과 (6), 방사선종양학과 (1), 병리과 (2), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (3), 응급의학과 (2), 직업환경의학과 (2), 예방의학과 (1), 구강악안면외과 (1), 침구과 (1)","내과 (17), 신경과 (3), 정신건강의학과 (2), 외과 (8), 정형외과 (4), 신경외과 (4), 심장혈관흉부외과 (1), 성형외과 (2), 마취통증의학과 (5), 산부인과 (2), 소아청소년과 (2), 안과 (0), 이비인후과 (2), 비뇨의학과 (1), 영상의학과 (6), 방사선종양학과 (1), 병리과 (2), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (3), 응급의학과 (2), 직업환경의학과 (2), 예방의학과 (1), 구강악안면외과 (1), 치과보철과 (0), 한방내과 (0), 한방부인과 (0), 한방소아과 (0), 한방안·이비인후·피부과 (0), 한방신경정신과 (0), 침구과 (1), 한방재활의학과 (0), 사상체질과 (0)"
12,부산광역시의료원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjODEjJDEjJDYjJDgz"",12);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjODEjJDEjJDYjJDgz,"총 인원 : 68명 (의사 : 64, 치과의사 : 3, 한의사 : 1)","내과 (14), 신경과 (2), 정신건강의학과 (2), 외과 (4), 정형외과 (4), 신경외과 (1), 심장혈관흉부외과 (1), 마취통증의학과 (2), 산부인과 (1), 소아청소년과 (2), 안과 (1), 이비인후과 (1), 피부과 (1), 비뇨의학과 (3), 영상의학과 (4), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (4), 응급의학과 (4), 통합치의학과 (1)","내과 (14), 신경과 (2), 정신건강의학과 (2), 외과 (4), 정형외과 (4), 신경외과 (1), 심장혈관흉부외과 (1), 마취통증의학과 (2), 산부인과 (1), 소아청소년과 (2), 안과 (1), 이비인후과 (1), 피부과 (1), 비뇨의학과 (3), 영상의학과 (4), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (4), 응급의학과 (4), 통합치의학과 (1), 침구과 (0)"
13,의료법인정화의료재단 봉생기념병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz"",13);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz,"총 인원 : 68명 (의사 : 67, 치과의사 : 1, 한의사 : 0)","내과 (15), 신경과 (6), 정신건강의학과 (4), 외과 (3), 정형외과 (2), 신경외과 (5), 마취통증의학과 (2), 산부인과 (2), 소아청소년과 (2), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (4), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 핵의학과 (1), 가정의학과 (1), 응급의학과 (4), 통합치의학과 (1)","내과 (15), 신경과 (6), 정신건강의학과 (4), 외과 (3), 정형외과 (2), 신경외과 (5), 마취통증의학과 (2), 산부인과 (2), 소아청소년과 (2), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (4), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 응급의학과 (4), 치주과 (0)"
14,대동병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz"",14);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,"총 인원 : 65명 (의사 : 64, 치과의사 : 1, 한의사 : 0)","내과 (12), 신경과 (2), 정신건강의학과 (1), 외과 (5), 정형외과 (5), 신경외과 (4), 마취통증의학과 (4), 산부인과 (1), 소아청소년과 (3), 이비인후과 (3), 피부과 (1), 비뇨의학과 (2), 영상의학과 (5), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (3), 응급의학과 (7), 통합치의학과 (1)","내과 (12), 신경과 (2), 정신건강의학과 (1), 외과 (5), 정형외과 (5), 신경외과 (4), 성형외과 (0), 마취통증의학과 (4), 산부인과 (1), 소아청소년과 (3), 이비인후과 (3), 피부과 (1), 비뇨의학과 (2), 영상의학과 (5), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (3), 응급의학과 (7), 구강악안면외과 (0), 통합치의학과 (1)"
15,의료법인 광혜의료재단 광혜병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNjEjJDEjJDAjJDgz"",15);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNjEjJDEjJDAjJDgz,"총 인원 : 26명 (의사 : 26, 치과의사 : 0, 한의사 : 0)","내과 (6), 신경과 (1), 외과 (2), 정형외과 (3), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 이비인후과 (1), 영상의학과 (2), 진단검사의학과 (1), 재활의학과 (3), 가정의학과 (2)","내과 (6), 신경과 (1), 외과 (2), 정형외과 (3), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 이비인후과 (1), 영상의학과 (2), 진단검사의학과 (1), 재활의학과 (3), 가정의학과 (2)"
16,인제대학교 해운대백병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDIjJDgz"",16);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE0ODEjODEjJDEjJDIjJDgz,"총 인원 : 240명 (의사 : 233, 치과의사 : 7, 한의사 : 0)","내과 (60), 신경과 (8), 정신건강의학과 (3), 외과 (21), 정형외과 (10), 신경외과 (5), 심장혈관흉부외과 (4), 성형외과 (3), 마취통증의학과 (14), 산부인과 (9), 소아청소년과 (15), 안과 (6), 이비인후과 (3), 피부과 (2), 비뇨의학과 (3), 영상의학과 (17), 방사선종양학과 (2), 병리과 (5), 진단검사의학과 (4), 재활의학과 (2), 핵의학과 (3), 가정의학과 (7), 응급의학과 (12), 직업환경의학과 (2), 구강악안면외과 (2), 치과보철과 (2), 치주과 (1), 치과보존과 (2), 통합치의학과 (1)","내과 (60), 신경과 (8), 정신건강의학과 (3), 외과 (21), 정형외과 (10), 신경외과 (5), 심장혈관흉부외과 (4), 성형외과 (3), 마취통증의학과 (14), 산부인과 (9), 소아청소년과 (15), 안과 (6), 이비인후과 (3), 피부과 (2), 비뇨의학과 (3), 영상의학과 (17), 방사선종양학과 (2), 병리과 (5), 진단검사의학과 (4), 재활의학과 (2), 핵의학과 (3), 가정의학과 (7), 응급의학과 (12), 직업환경의학과 (2), 구강악안면외과 (2), 치과보철과 (2), 치과교정과 (0)"
17,재단법인천주교부산교구유지재단 메리놀병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz"",17);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz,"총 인원 : 70명 (의사 : 69, 치과의사 : 1, 한의사 : 0)","내과 (17), 신경과 (2), 정신건강의학과 (2), 외과 (6), 정형외과 (3), 신경외과 (3), 심장혈관흉부외과 (1), 마취통증의학과 (4), 산부인과 (2), 소아청소년과 (2), 안과 (5), 이비인후과 (4), 피부과 (1), 비뇨의학과 (1), 영상의학과 (5), 병리과 (2), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (3), 구강악안면외과 (1)","내과 (17), 신경과 (2), 정신건강의학과 (2), 외과 (6), 정형외과 (3), 신경외과 (3), 심장혈관흉부외과 (1), 마취통증의학과 (4), 산부인과 (2), 소아청소년과 (2), 안과 (5), 이비인후과 (4), 피부과 (1), 비뇨의학과 (1), 영상의학과 (5), 방사선종양학과 (0), 병리과 (2), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (3), 구강악안면외과 (1), 치과보철과 (0), 치과교정과 (0), 소아치과 (0), 치주과 (0), 치과보존과 (0), 구강내과 (0), 영상치의학과 (0), 구강병리과 (0), 예방치과 (0)"
18,의료법인 행도의료재단 해동병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjNjEjJDEjJDQjJDgz"",18);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE4MzIjNjEjJDEjJDQjJDgz,"총 인원 : 29명 (의사 : 29, 치과의사 : 0, 한의사 : 0)","내과 (5), 신경과 (4), 정신건강의학과 (1), 외과 (3), 정형외과 (2), 신경외과 (1), 심장혈관흉부외과 (1), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (2), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (2)","내과 (5), 신경과 (4), 정신건강의학과 (1), 외과 (3), 정형외과 (2), 신경외과 (1), 심장혈관흉부외과 (1), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 이비인후과 (0), 비뇨의학과 (1), 영상의학과 (2), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (2), 응급의학과 (0)"
19,의료법인은성의료재단좋은삼선병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz"",19);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE0ODEjNDEjJDEjJDgjJDgz,"총 인원 : 81명 (의사 : 78, 치과의사 : 3, 한의사 : 0)","내과 (18), 신경과 (3), 정신건강의학과 (1), 외과 (3), 정형외과 (8), 신경외과 (4), 심장혈관흉부외과 (1), 마취통증의학과 (4), 산부인과 (2), 소아청소년과 (2), 이비인후과 (1), 비뇨의학과 (2), 영상의학과 (6), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (2), 응급의학과 (5), 직업환경의학과 (3), 통합치의학과 (1)","내과 (18), 신경과 (3), 정신건강의학과 (1), 외과 (3), 정형외과 (8), 신경외과 (4), 마취통증의학과 (4), 산부인과 (2), 소아청소년과 (2), 이비인후과 (1), 비뇨의학과 (2), 영상의학과 (6), 병리과 (1), 진단검사의학과 (1), 재활의학과 (1), 가정의학과 (2), 응급의학과 (5), 직업환경의학과 (3), 통합치의학과 (1)"
20,영도병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz"",20);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,"총 인원 : 30명 (의사 : 29, 치과의사 : 1, 한의사 : 0)","내과 (8), 신경과 (1), 외과 (6), 정형외과 (3), 신경외과 (1), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (2), 병리과 (1), 가정의학과 (3), 직업환경의학과 (1), 통합치의학과 (1)","내과 (8), 신경과 (1), 외과 (6), 정형외과 (3), 신경외과 (1), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 비뇨의학과 (1), 영상의학과 (2), 병리과 (1), 가정의학과 (3), 직업환경의학과 (1), 치주과 (0)"
21,한국보훈복지의료공단 부산보훈병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz"",21);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,"총 인원 : 70명 (의사 : 62, 치과의사 : 7, 한의사 : 1)","내과 (14), 신경과 (2), 정신건강의학과 (2), 외과 (3), 정형외과 (3), 신경외과 (3), 심장혈관흉부외과 (1), 마취통증의학과 (2), 산부인과 (2), 소아청소년과 (2), 안과 (2), 이비인후과 (2), 피부과 (2), 비뇨의학과 (5), 영상의학과 (3), 병리과 (1), 진단검사의학과 (1), 재활의학과 (2), 가정의학과 (6), 치주과 (1), 통합치의학과 (5)","내과 (14), 신경과 (2), 정신건강의학과 (2), 외과 (3), 정형외과 (3), 신경외과 (3), 마취통증의학과 (2), 산부인과 (2), 소아청소년과 (2), 안과 (2), 이비인후과 (2), 피부과 (2), 비뇨의학과 (5), 영상의학과 (3), 병리과 (1), 진단검사의학과 (1), 재활의학과 (2), 가정의학과 (6), 치과보철과 (0), 한방내과 (0)"
22,삼육부산병원,"HospitalMap.hospDrgMoveMap(""JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNjEjJDEjJDQjJDgz"",22);",JDQ4MTAxMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEyMjIjNjEjJDEjJDQjJDgz,"총 인원 : 55명 (의사 : 52, 치과의사 : 3, 한의사 : 0)","내과 (10), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (3), 신경외과 (2), 심장혈관흉부외과 (1), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 안과 (1), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (2), 방사선종양학과 (1), 병리과 (1), 재활의학과 (2), 가정의학과 (2), 응급의학과 (7), 직업환경의학과 (2)","내과 (10), 신경과 (2), 정신건강의학과 (1), 외과 (3), 정형외과 (3), 신경외과 (2), 심장혈관흉부외과 (1), 마취통증의학과 (1), 산부인과 (1), 소아청소년과 (1), 안과 (1), 이비인후과 (1), 비뇨의학과 (1), 영상의학과 (2), 방사선종양학과 (1), 병리과 (1), 진단검사의학과 (0), 재활의학과 (2), 가정의학과 (2), 응급의학과 (7), 직업환경의학과 (2), 구강악안면외과 (0), 치과보철과 (0), 치과교정과 (0), 소아치과 (0), 치주과 (0), 치과보존과 (0), 구강내과 (0), 영상치의학과 (0), 구강병리과 (0), 예방치과 (0)"
